,loss,N,device,mean[ms],var[ms]
92,sigmoid_pairwise_loss_auc,465565.5172413793,cuda,7.15892235438029,3.928978796668364e-05
93,sigmoid_pairwise_loss_auc_exact,465565.5172413793,cuda,9.350425084431967,1.4702155125531943e-05
94,sigmoid_pairwise_diff_hess_auc,465565.5172413793,cuda,8.67851980527242,0.00016682068907256404
95,sigmoid_pairwise_diff_hess_auc_exact,465565.5172413793,cuda,9.108351707458496,0.0035023638948056637
96,sigmoid_pairwise_loss,496596.5517241379,cuda,11.998167276382446,0.0004693217544324095
97,sigmoid_pairwise_diff_hess,496596.5517241379,cuda,18.47041384379069,0.004714882221997465
98,sigmoid_pairwise_loss_auc,496596.5517241379,cuda,8.110595544179281,0.00033510321184672246
99,sigmoid_pairwise_loss_auc_exact,496596.5517241379,cuda,10.561853806177774,8.677909137430914e-05
100,sigmoid_pairwise_diff_hess_auc,496596.5517241379,cuda,9.939769824345907,0.0007143950206732877
101,sigmoid_pairwise_diff_hess_auc_exact,496596.5517241379,cuda,10.348376353581747,0.0015138493319505465
102,sigmoid_pairwise_loss,527627.5862068966,cuda,13.47070598602295,0.0001471544181868012
103,sigmoid_pairwise_diff_hess,527627.5862068966,cuda,21.355513254801433,0.00909287665211246
104,sigmoid_pairwise_loss_auc,527627.5862068966,cuda,9.124340772628784,0.00016927097556163062
105,sigmoid_pairwise_loss_auc_exact,527627.5862068966,cuda,11.895885229110718,0.00029378782736936654
106,sigmoid_pairwise_diff_hess_auc,527627.5862068966,cuda,11.273125092188517,0.00017497629696410714
107,sigmoid_pairwise_diff_hess_auc_exact,527627.5862068966,cuda,11.828873793284098,0.0021422095175896378
108,sigmoid_pairwise_loss,558658.6206896552,cuda,15.011844237645468,1.6163428628917445e-05
109,sigmoid_pairwise_diff_hess,558658.6206896552,cuda,24.42733422915141,0.003718324667046444
110,sigmoid_pairwise_loss_auc,558658.6206896552,cuda,10.197306315104166,0.000419108670118678
111,sigmoid_pairwise_loss_auc_exact,558658.6206896552,cuda,13.333636204401651,5.045399637361293e-05
112,sigmoid_pairwise_diff_hess_auc,558658.6206896552,cuda,12.534717480341593,0.0005486527501766937
113,sigmoid_pairwise_diff_hess_auc_exact,558658.6206896552,cuda,13.289965788523356,0.0008227075066745076
114,sigmoid_pairwise_loss,589689.6551724138,cuda,16.472426970799763,1.8718311682480107e-05
115,sigmoid_pairwise_diff_hess,589689.6551724138,cuda,26.394614855448406,0.054629601090192
116,sigmoid_pairwise_loss_auc,589689.6551724138,cuda,11.15799323717753,0.0003795536726000945
117,sigmoid_pairwise_loss_auc_exact,589689.6551724138,cuda,14.572521924972534,0.00016282618059904053
118,sigmoid_pairwise_diff_hess_auc,589689.6551724138,cuda,13.866907358169556,0.01117821793195617
119,sigmoid_pairwise_diff_hess_auc_exact,589689.6551724138,cuda,14.453693866729736,0.004025789922252443
120,sigmoid_pairwise_loss,620720.6896551724,cuda,18.19771607716878,1.5879682046539125e-05
121,sigmoid_pairwise_diff_hess,620720.6896551724,cuda,29.019312461217243,0.00142734657892005
122,sigmoid_pairwise_loss_auc,620720.6896551724,cuda,12.343786716461182,0.00016123028198459602
123,sigmoid_pairwise_loss_auc_exact,620720.6896551724,cuda,16.186941703160603,0.0006938739293723808
124,sigmoid_pairwise_diff_hess_auc,620720.6896551724,cuda,14.837913831075033,0.002577424240838708
125,sigmoid_pairwise_diff_hess_auc_exact,620720.6896551724,cuda,15.684544563293457,0.0006823880739830201
126,sigmoid_pairwise_loss,651751.724137931,cuda,19.961088339487713,0.0002463502869937252
127,sigmoid_pairwise_diff_hess,651751.724137931,cuda,32.547476609547935,0.05298865635959121
128,sigmoid_pairwise_loss_auc,651751.724137931,cuda,13.53637178738912,8.684801064696834e-05
129,sigmoid_pairwise_loss_auc_exact,651751.724137931,cuda,17.773631016413372,0.004021406537137611
130,sigmoid_pairwise_diff_hess_auc,651751.724137931,cuda,16.930937210718792,0.0001927054640999712
131,sigmoid_pairwise_diff_hess_auc_exact,651751.724137931,cuda,17.931052684783936,0.0033087426100261532
132,sigmoid_pairwise_loss,682782.7586206896,cuda,21.243544419606526,2.8936681259336994e-05
133,sigmoid_pairwise_diff_hess,682782.7586206896,cuda,36.91209626197815,0.40409211288241903
134,sigmoid_pairwise_loss_auc,682782.7586206896,cuda,14.495142459869385,0.0003485373104391935
135,sigmoid_pairwise_loss_auc_exact,682782.7586206896,cuda,19.11352014541626,0.00023479610244218443
136,sigmoid_pairwise_diff_hess_auc,682782.7586206896,cuda,18.60735599199931,0.011177995892972428
